symbol,name,hgnc_id,phase,family,role,tier,reference_ids,references,hgnc_url,entrez_id,ensembl_gene_id,uniprot_ids,location,locus_group,locus_type,gene_group,gene_group_id,rule_note,source_url,source_downloaded_at
ADH1A,"alcohol dehydrogenase 1A (class I), alpha polypeptide",HGNC:249,Phase I,Alcohol dehydrogenases,alcohol oxidation; ethanol to acetaldehyde pathway,core,HGNC;BRENDA;CLINPGX,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113) | ClinPGx/PharmGKB pharmacogenomic annotations (https://api.pharmgkb.org/; doi:10.1002/cpz1.226),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:249,124,ENSG00000187758,P07327,4q23,protein-coding gene,gene with protein product,Alcohol dehydrogenases,397,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",HGNC:250,Phase I,Alcohol dehydrogenases,alcohol oxidation; ethanol to acetaldehyde pathway,core,HGNC;BRENDA;CLINPGX,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113) | ClinPGx/PharmGKB pharmacogenomic annotations (https://api.pharmgkb.org/; doi:10.1002/cpz1.226),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:250,125,ENSG00000196616,P00325,4q23,protein-coding gene,gene with protein product,Alcohol dehydrogenases,397,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide",HGNC:251,Phase I,Alcohol dehydrogenases,alcohol oxidation; ethanol to acetaldehyde pathway,core,HGNC;BRENDA;CLINPGX,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113) | ClinPGx/PharmGKB pharmacogenomic annotations (https://api.pharmgkb.org/; doi:10.1002/cpz1.226),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:251,126,ENSG00000248144,P00326,4q23,protein-coding gene,gene with protein product,Alcohol dehydrogenases,397,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
ADH4,"alcohol dehydrogenase 4 (class II), pi polypeptide",HGNC:252,Phase I,Alcohol dehydrogenases,alcohol oxidation; ethanol to acetaldehyde pathway,core,HGNC;BRENDA;CLINPGX,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113) | ClinPGx/PharmGKB pharmacogenomic annotations (https://api.pharmgkb.org/; doi:10.1002/cpz1.226),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:252,127,ENSG00000198099,P08319,4q23,protein-coding gene,gene with protein product,Alcohol dehydrogenases,397,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide",HGNC:253,Phase I,Alcohol dehydrogenases,alcohol oxidation; ethanol to acetaldehyde pathway,core,HGNC;BRENDA;CLINPGX,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113) | ClinPGx/PharmGKB pharmacogenomic annotations (https://api.pharmgkb.org/; doi:10.1002/cpz1.226),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:253,128,ENSG00000197894,P11766,4q23,protein-coding gene,gene with protein product,Alcohol dehydrogenases,397,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
ADH6,alcohol dehydrogenase 6 (class V),HGNC:255,Phase I,Alcohol dehydrogenases,alcohol oxidation; ethanol to acetaldehyde pathway,core,HGNC;BRENDA;CLINPGX,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113) | ClinPGx/PharmGKB pharmacogenomic annotations (https://api.pharmgkb.org/; doi:10.1002/cpz1.226),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:255,130,ENSG00000172955,P28332,4q23,protein-coding gene,gene with protein product,Alcohol dehydrogenases,397,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
ADH7,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",HGNC:256,Phase I,Alcohol dehydrogenases,alcohol oxidation; ethanol to acetaldehyde pathway,core,HGNC;BRENDA;CLINPGX,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113) | ClinPGx/PharmGKB pharmacogenomic annotations (https://api.pharmgkb.org/; doi:10.1002/cpz1.226),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:256,131,ENSG00000196344,P40394,4q23,protein-coding gene,gene with protein product,Alcohol dehydrogenases,397,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
ADHFE1,alcohol dehydrogenase iron containing 1,HGNC:16354,Phase I,Alcohol dehydrogenases,alcohol oxidation; ethanol to acetaldehyde pathway,core,HGNC;BRENDA;CLINPGX,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113) | ClinPGx/PharmGKB pharmacogenomic annotations (https://api.pharmgkb.org/; doi:10.1002/cpz1.226),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:16354,137872,ENSG00000147576,Q8IWW8,8q13.1,protein-coding gene,gene with protein product,Alcohol dehydrogenases,397,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
ALDH16A1,aldehyde dehydrogenase 16 family member A1,HGNC:28114,Phase I,Aldehyde dehydrogenases,aldehyde oxidation; acetaldehyde clearance and reactive aldehyde detoxication,core,HGNC;BRENDA;CLINPGX,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113) | ClinPGx/PharmGKB pharmacogenomic annotations (https://api.pharmgkb.org/; doi:10.1002/cpz1.226),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:28114,126133,ENSG00000161618,Q8IZ83,19q13.33,protein-coding gene,gene with protein product,Aldehyde dehydrogenases,398,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
ALDH18A1,aldehyde dehydrogenase 18 family member A1,HGNC:9722,Phase I,Aldehyde dehydrogenases,aldehyde oxidation; acetaldehyde clearance and reactive aldehyde detoxication,core,HGNC;BRENDA;CLINPGX,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | BRENDA enzyme functional and reaction data (https://www.brenda-enzymes.org/; doi:10.1093/nar/gkaf1113) | ClinPGx/PharmGKB pharmacogenomic annotations (https://api.pharmgkb.org/; doi:10.1002/cpz1.226),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9722,5832,ENSG00000059573,P54886,10q24.1,protein-coding gene,gene with protein product,Aldehyde dehydrogenases,398,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
