symbol,name,hgnc_id,phase,family,role,tier,reference_ids,references,hgnc_url,entrez_id,ensembl_gene_id,uniprot_ids,location,locus_group,locus_type,gene_group,gene_group_id,rule_note,source_url,source_downloaded_at
ABCB1,ATP binding cassette subfamily B member 1,HGNC:40,Phase III,"ABC efflux transporters, ADME/cancer core","ATP-dependent efflux of xenobiotics, metabolites, and anticancer drugs",core,HGNC;TCDB;FDA_DDI;ISTRANSBASE;CLINPGX;PHARMVAR,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | Transporter Classification Database (https://tcdb.org/; doi:10.1093/nar/gkaa1004) | FDA drug interaction tables for CYP enzymes and transporters (https://www.fda.gov/drugs/drug-interactions-labeling/drug-development-and-drug-interactions-table-substrates-inhibitors-and-inducers;) | ISTransbase drug transporter substrates/inhibitors (https://istransbase.scbdd.com/; doi:10.1093/database/baae053) | ClinPGx/PharmGKB pharmacogenomic annotations (https://api.pharmgkb.org/; doi:10.1002/cpz1.226) | PharmVar star-allele nomenclature (https://www.pharmvar.org/; doi:10.1002/cpt.910),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:40,5243,ENSG00000085563,P08183,7q21.12,protein-coding gene,gene with protein product,CD molecules|ATP binding cassette subfamily B|ATPase phospholipid transporting,471|806|1210,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
ABCB11,ATP binding cassette subfamily B member 11,HGNC:42,Phase III,"ABC efflux transporters, ADME/cancer core","ATP-dependent efflux of xenobiotics, metabolites, and anticancer drugs",core,HGNC;TCDB;FDA_DDI;ISTRANSBASE;CLINPGX;PHARMVAR,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | Transporter Classification Database (https://tcdb.org/; doi:10.1093/nar/gkaa1004) | FDA drug interaction tables for CYP enzymes and transporters (https://www.fda.gov/drugs/drug-interactions-labeling/drug-development-and-drug-interactions-table-substrates-inhibitors-and-inducers;) | ISTransbase drug transporter substrates/inhibitors (https://istransbase.scbdd.com/; doi:10.1093/database/baae053) | ClinPGx/PharmGKB pharmacogenomic annotations (https://api.pharmgkb.org/; doi:10.1002/cpz1.226) | PharmVar star-allele nomenclature (https://www.pharmvar.org/; doi:10.1002/cpt.910),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:42,8647,ENSG00000073734,O95342,2q31.1,protein-coding gene,gene with protein product,ATP binding cassette subfamily B,806,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
ABCB4,ATP binding cassette subfamily B member 4,HGNC:45,Phase III,"ABC efflux transporters, ADME/cancer core","ATP-dependent efflux of xenobiotics, metabolites, and anticancer drugs",core,HGNC;TCDB;FDA_DDI;ISTRANSBASE;CLINPGX;PHARMVAR,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | Transporter Classification Database (https://tcdb.org/; doi:10.1093/nar/gkaa1004) | FDA drug interaction tables for CYP enzymes and transporters (https://www.fda.gov/drugs/drug-interactions-labeling/drug-development-and-drug-interactions-table-substrates-inhibitors-and-inducers;) | ISTransbase drug transporter substrates/inhibitors (https://istransbase.scbdd.com/; doi:10.1093/database/baae053) | ClinPGx/PharmGKB pharmacogenomic annotations (https://api.pharmgkb.org/; doi:10.1002/cpz1.226) | PharmVar star-allele nomenclature (https://www.pharmvar.org/; doi:10.1002/cpt.910),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:45,5244,ENSG00000005471,P21439,7q21.12,protein-coding gene,gene with protein product,ATP binding cassette subfamily B|ATPase phospholipid transporting,806|1210,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
ABCC1,ATP binding cassette subfamily C member 1 (ABCC1 blood group),HGNC:51,Phase III,"ABC efflux transporters, ADME/cancer core","ATP-dependent efflux of xenobiotics, metabolites, and anticancer drugs",core,HGNC;TCDB;FDA_DDI;ISTRANSBASE;CLINPGX;PHARMVAR,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | Transporter Classification Database (https://tcdb.org/; doi:10.1093/nar/gkaa1004) | FDA drug interaction tables for CYP enzymes and transporters (https://www.fda.gov/drugs/drug-interactions-labeling/drug-development-and-drug-interactions-table-substrates-inhibitors-and-inducers;) | ISTransbase drug transporter substrates/inhibitors (https://istransbase.scbdd.com/; doi:10.1093/database/baae053) | ClinPGx/PharmGKB pharmacogenomic annotations (https://api.pharmgkb.org/; doi:10.1002/cpz1.226) | PharmVar star-allele nomenclature (https://www.pharmvar.org/; doi:10.1002/cpt.910),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:51,4363,ENSG00000103222,P33527,16p13.11,protein-coding gene,gene with protein product,Blood group antigens|ATP binding cassette subfamily C,454|807,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
ABCC10,ATP binding cassette subfamily C member 10,HGNC:52,Phase III,"ABC efflux transporters, ADME/cancer core","ATP-dependent efflux of xenobiotics, metabolites, and anticancer drugs",core,HGNC;TCDB;FDA_DDI;ISTRANSBASE;CLINPGX;PHARMVAR,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | Transporter Classification Database (https://tcdb.org/; doi:10.1093/nar/gkaa1004) | FDA drug interaction tables for CYP enzymes and transporters (https://www.fda.gov/drugs/drug-interactions-labeling/drug-development-and-drug-interactions-table-substrates-inhibitors-and-inducers;) | ISTransbase drug transporter substrates/inhibitors (https://istransbase.scbdd.com/; doi:10.1093/database/baae053) | ClinPGx/PharmGKB pharmacogenomic annotations (https://api.pharmgkb.org/; doi:10.1002/cpz1.226) | PharmVar star-allele nomenclature (https://www.pharmvar.org/; doi:10.1002/cpt.910),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:52,89845,ENSG00000124574,Q5T3U5,6p21.1,protein-coding gene,gene with protein product,ATP binding cassette subfamily C|MicroRNA protein coding host genes,807|1691,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
ABCC2,ATP binding cassette subfamily C member 2,HGNC:53,Phase III,"ABC efflux transporters, ADME/cancer core","ATP-dependent efflux of xenobiotics, metabolites, and anticancer drugs",core,HGNC;TCDB;FDA_DDI;ISTRANSBASE;CLINPGX;PHARMVAR,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | Transporter Classification Database (https://tcdb.org/; doi:10.1093/nar/gkaa1004) | FDA drug interaction tables for CYP enzymes and transporters (https://www.fda.gov/drugs/drug-interactions-labeling/drug-development-and-drug-interactions-table-substrates-inhibitors-and-inducers;) | ISTransbase drug transporter substrates/inhibitors (https://istransbase.scbdd.com/; doi:10.1093/database/baae053) | ClinPGx/PharmGKB pharmacogenomic annotations (https://api.pharmgkb.org/; doi:10.1002/cpz1.226) | PharmVar star-allele nomenclature (https://www.pharmvar.org/; doi:10.1002/cpt.910),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:53,1244,ENSG00000023839,Q92887,10q24.2,protein-coding gene,gene with protein product,ATP binding cassette subfamily C,807,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
ABCC3,ATP binding cassette subfamily C member 3,HGNC:54,Phase III,"ABC efflux transporters, ADME/cancer core","ATP-dependent efflux of xenobiotics, metabolites, and anticancer drugs",core,HGNC;TCDB;FDA_DDI;ISTRANSBASE;CLINPGX;PHARMVAR,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | Transporter Classification Database (https://tcdb.org/; doi:10.1093/nar/gkaa1004) | FDA drug interaction tables for CYP enzymes and transporters (https://www.fda.gov/drugs/drug-interactions-labeling/drug-development-and-drug-interactions-table-substrates-inhibitors-and-inducers;) | ISTransbase drug transporter substrates/inhibitors (https://istransbase.scbdd.com/; doi:10.1093/database/baae053) | ClinPGx/PharmGKB pharmacogenomic annotations (https://api.pharmgkb.org/; doi:10.1002/cpz1.226) | PharmVar star-allele nomenclature (https://www.pharmvar.org/; doi:10.1002/cpt.910),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:54,8714,ENSG00000108846,O15438,17q21.33,protein-coding gene,gene with protein product,ATP binding cassette subfamily C,807,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
ABCC4,ATP binding cassette subfamily C member 4 (PEL blood group),HGNC:55,Phase III,"ABC efflux transporters, ADME/cancer core","ATP-dependent efflux of xenobiotics, metabolites, and anticancer drugs",core,HGNC;TCDB;FDA_DDI;ISTRANSBASE;CLINPGX;PHARMVAR,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | Transporter Classification Database (https://tcdb.org/; doi:10.1093/nar/gkaa1004) | FDA drug interaction tables for CYP enzymes and transporters (https://www.fda.gov/drugs/drug-interactions-labeling/drug-development-and-drug-interactions-table-substrates-inhibitors-and-inducers;) | ISTransbase drug transporter substrates/inhibitors (https://istransbase.scbdd.com/; doi:10.1093/database/baae053) | ClinPGx/PharmGKB pharmacogenomic annotations (https://api.pharmgkb.org/; doi:10.1002/cpz1.226) | PharmVar star-allele nomenclature (https://www.pharmvar.org/; doi:10.1002/cpt.910),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:55,10257,ENSG00000125257,O15439,13q32.1,protein-coding gene,gene with protein product,Blood group antigens|ATP binding cassette subfamily C,454|807,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
ABCC5,ATP binding cassette subfamily C member 5,HGNC:56,Phase III,"ABC efflux transporters, ADME/cancer core","ATP-dependent efflux of xenobiotics, metabolites, and anticancer drugs",core,HGNC;TCDB;FDA_DDI;ISTRANSBASE;CLINPGX;PHARMVAR,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | Transporter Classification Database (https://tcdb.org/; doi:10.1093/nar/gkaa1004) | FDA drug interaction tables for CYP enzymes and transporters (https://www.fda.gov/drugs/drug-interactions-labeling/drug-development-and-drug-interactions-table-substrates-inhibitors-and-inducers;) | ISTransbase drug transporter substrates/inhibitors (https://istransbase.scbdd.com/; doi:10.1093/database/baae053) | ClinPGx/PharmGKB pharmacogenomic annotations (https://api.pharmgkb.org/; doi:10.1002/cpz1.226) | PharmVar star-allele nomenclature (https://www.pharmvar.org/; doi:10.1002/cpt.910),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:56,10057,ENSG00000114770,O15440,3q27.1,protein-coding gene,gene with protein product,ATP binding cassette subfamily C,807,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
ABCC6,ATP binding cassette subfamily C member 6,HGNC:57,Phase III,"ABC efflux transporters, ADME/cancer core","ATP-dependent efflux of xenobiotics, metabolites, and anticancer drugs",core,HGNC;TCDB;FDA_DDI;ISTRANSBASE;CLINPGX;PHARMVAR,HGNC gene symbols and gene-family membership (https://www.genenames.org/download/; doi:10.1093/nar/gku1071) | Transporter Classification Database (https://tcdb.org/; doi:10.1093/nar/gkaa1004) | FDA drug interaction tables for CYP enzymes and transporters (https://www.fda.gov/drugs/drug-interactions-labeling/drug-development-and-drug-interactions-table-substrates-inhibitors-and-inducers;) | ISTransbase drug transporter substrates/inhibitors (https://istransbase.scbdd.com/; doi:10.1093/database/baae053) | ClinPGx/PharmGKB pharmacogenomic annotations (https://api.pharmgkb.org/; doi:10.1002/cpz1.226) | PharmVar star-allele nomenclature (https://www.pharmvar.org/; doi:10.1002/cpt.910),https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:57,368,ENSG00000091262,O95255,16p13.11,protein-coding gene,gene with protein product,ATP binding cassette subfamily C,807,,https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt,2026-04-29T11:48:39.621213+00:00
